epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,393.762,1.29289,2.07926,1.65883,0.40494,0.30502,0.27213,0.1014,2.15502,3.17151,2.60836,0.000658436,0.000658436,0.000658436
2,739.347,1.29303,1.6645,1.62437,0.2413,0.3033,0.20818,0.05019,2.43924,3.56973,3.5006,0.00123765,0.00123765,0.00123765
3,1063.66,1.29465,1.48193,1.61423,0.27275,0.46718,0.25739,0.10697,1.95784,2.58858,2.35563,0.00172886,0.00172886,0.00172886
4,1406.59,1.30448,1.40713,1.61724,0.79131,0.51243,0.60927,0.29365,1.75989,1.98226,2.27935,0.001604,0.001604,0.001604
5,1744.04,1.24166,1.32223,1.56903,0.67442,0.59983,0.64122,0.34907,1.53288,1.87504,1.95518,0.001472,0.001472,0.001472
6,2067.27,1.2775,1.33178,1.76524,0.73113,0.66409,0.71531,0.44225,1.31148,1.59862,1.75318,0.00134,0.00134,0.00134
7,2374.33,1.16128,1.11631,1.66263,0.6651,0.55212,0.62059,0.32144,1.66872,1.71736,2.01901,0.001208,0.001208,0.001208
8,2674.79,1.10284,1.03798,1.60445,0.84668,0.74628,0.81902,0.54688,1.21025,1.10415,1.63183,0.001076,0.001076,0.001076
9,2976.35,1.073,0.97236,1.55837,0.89168,0.79537,0.86944,0.60665,1.09791,0.99531,1.48181,0.000944,0.000944,0.000944
10,3278.51,1.01636,0.90995,1.51327,0.93265,0.79537,0.88355,0.61204,1.05613,0.91958,1.43816,0.000812,0.000812,0.000812
11,3582.74,0.96417,0.84284,1.46987,0.90122,0.83012,0.88479,0.64209,0.98934,0.82854,1.38182,0.00068,0.00068,0.00068
12,3915.46,0.90978,0.8006,1.43435,0.849,0.82494,0.88472,0.63429,0.99951,0.85204,1.38803,0.000548,0.000548,0.000548
13,4239.91,0.88042,0.74586,1.40646,0.88063,0.88417,0.92038,0.6793,0.93923,0.71443,1.31482,0.000416,0.000416,0.000416
14,4564.05,0.83314,0.69818,1.36644,0.94598,0.8417,0.92648,0.70831,0.82635,0.71022,1.21272,0.000284,0.000284,0.000284
15,4887.38,0.80292,0.6646,1.33573,0.90765,0.87645,0.92622,0.69656,0.84364,0.68766,1.22664,0.000152,0.000152,0.000152
