                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6692,                 1.6714,                 1.0026,                0.85831,                0.83268,                0.89992,                0.43996,                 1.5149,                0.91972,                0.91262,               0.001538,             0.00099457,             0.00099457
                      2,                 1.5207,                 1.0023,                  0.973,                0.86504,                0.92277,                0.94527,                0.53883,                 1.3139,                0.82144,                0.88174,             0.00098918,             0.00098918,             0.00098918
                      3,                 1.4628,                0.93784,                0.96559,                0.90724,                0.89105,                0.94724,                0.54245,                 1.3409,                0.80105,                0.88026,             0.00098918,             0.00098918,             0.00098918
                      4,                 1.4857,                0.92737,                0.95069,                0.89999,                0.89105,                0.93652,                0.50101,                 1.3314,                0.86531,                0.87671,             0.00095721,             0.00095721,             0.00095721
                      5,                 1.4457,                0.91856,                0.93323,                0.90088,                 0.9144,                0.95049,                0.57062,                 1.2282,                0.80139,                0.85245,             0.00090546,             0.00090546,             0.00090546
                      6,                  1.351,                0.91514,                0.95574,                0.92825,                0.85577,                0.93402,                0.53817,                 1.3416,                0.83288,                0.88273,             0.00083622,             0.00083622,             0.00083622
                      7,                 1.3373,                0.87805,                  0.945,                0.90471,                0.88661,                0.92953,                0.55061,                 1.2562,                0.81037,                0.86377,              0.0007525,              0.0007525,              0.0007525
                      8,                 1.3011,                0.88422,                0.91613,                0.88173,                0.89924,                0.91602,                0.50678,                 1.3468,                0.86896,                0.87029,             0.00065796,             0.00065796,             0.00065796
                      9,                 1.2796,                0.86196,                0.92502,                0.89367,                0.90661,                0.93359,                 0.5903,                 1.1754,                0.77788,                0.84429,             0.00055674,             0.00055674,             0.00055674
                     10,                 1.2627,                0.86174,                0.91368,                0.92249,                 0.8677,                0.93997,                0.56708,                 1.2742,                0.78195,                0.85629,             0.00045326,             0.00045326,             0.00045326
                     11,                 1.2407,                0.85156,                0.90307,                0.89597,                0.92218,                0.89944,                0.54944,                  1.172,                  0.809,                0.84972,             0.00035204,             0.00035204,             0.00035204
                     12,                 1.2142,                0.84043,                0.89575,                0.89727,                0.92996,                0.91614,                0.59187,                  1.168,                0.76706,                0.84507,              0.0002575,              0.0002575,              0.0002575
                     13,                 1.1898,                0.81214,                0.90175,                0.89616,                0.94163,                0.91037,                0.56782,                 1.1571,                0.77145,                0.84255,             0.00017378,             0.00017378,             0.00017378
                     14,                   1.18,                0.80137,                0.89053,                0.90513,                0.92805,                 0.9229,                0.57985,                 1.1496,                0.76225,                0.84266,             0.00010454,             0.00010454,             0.00010454
                     15,                 1.1703,                0.80666,                0.89608,                0.89948,                0.94012,                0.92983,                0.59414,                 1.1255,                0.74387,                0.83827,             5.2795e-05,             5.2795e-05,             5.2795e-05
