epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,415.48,1.55249,2.37086,1.25693,0.15938,0.18315,0.19442,0.11205,1.40209,2.76156,1.27164,0.01585,0.00085,0.00085
2,827.498,1.44551,1.45041,1.23369,0.70566,0.74821,0.72762,0.3812,1.44716,1.60549,1.2656,0.000975773,0.000975773,0.000975773
3,1208.62,1.40375,1.18998,1.2087,0.86094,0.84961,0.91276,0.54571,1.3191,1.05306,1.22386,0.000905463,0.000905463,0.000905463
4,1642.62,1.34599,1.03694,1.1651,0.85378,0.8355,0.90724,0.55805,1.27913,1.05961,1.16905,0.000795954,0.000795954,0.000795954
5,2083.36,1.31609,0.94846,1.13609,0.87399,0.91421,0.91898,0.57331,1.22022,0.925,1.12418,0.000657963,0.000657963,0.000657963
6,2499.56,1.2662,0.87588,1.12318,0.92076,0.91566,0.9431,0.61242,1.16759,0.82224,1.1243,0.000505,0.000505,0.000505
7,2879.71,1.24045,0.82311,1.10562,0.95591,0.91453,0.96122,0.62217,1.1538,0.75866,1.0992,0.000352037,0.000352037,0.000352037
8,3285.43,1.2064,0.76862,1.09066,0.94509,0.92243,0.96602,0.64182,1.13187,0.72336,1.08926,0.000214046,0.000214046,0.000214046
9,3700,1.18664,0.74729,1.0783,0.9331,0.93819,0.96437,0.65662,1.09304,0.68515,1.07341,0.000104537,0.000104537,0.000104537
10,4103.87,1.16548,0.72453,1.06386,0.95993,0.91636,0.96845,0.65947,1.08159,0.6713,1.06378,3.4227e-05,3.4227e-05,3.4227e-05
