epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3326.24,1.78138,2.05721,1.39543,0.55496,0.50798,0.49279,0.24589,1.76804,1.65342,1.42124,0.000333044,0.000333044,0.000333044
2,6360.94,1.73404,1.50143,1.3798,0.59614,0.56075,0.57442,0.2946,1.70674,1.42491,1.37874,0.000600406,0.000600406,0.000600406
3,9306.99,1.7126,1.36415,1.38601,0.63643,0.59169,0.61974,0.34117,1.66266,1.27883,1.35442,0.000801768,0.000801768,0.000801768
4,12252,1.68525,1.28352,1.37002,0.66781,0.63227,0.67753,0.37325,1.63743,1.18128,1.34301,0.000703,0.000703,0.000703
5,15177.8,1.65465,1.21422,1.35097,0.67346,0.64365,0.69107,0.39105,1.60446,1.13824,1.31621,0.000604,0.000604,0.000604
6,18790.4,1.63337,1.16736,1.33548,0.70663,0.64507,0.71182,0.4033,1.59801,1.10196,1.3121,0.000505,0.000505,0.000505
7,22154.6,1.61419,1.12528,1.3247,0.70382,0.67192,0.73299,0.4242,1.55709,1.05506,1.29675,0.000406,0.000406,0.000406
8,25568.2,1.59013,1.08004,1.31088,0.7214,0.66394,0.7397,0.43297,1.54846,1.02601,1.2872,0.000307,0.000307,0.000307
9,29285,1.56887,1.05226,1.29832,0.71569,0.69541,0.76003,0.45076,1.52976,0.9863,1.27024,0.000208,0.000208,0.000208
10,40154.4,1.55628,1.02546,1.28716,0.71943,0.71016,0.77064,0.4613,1.50672,0.9664,1.25643,0.000109,0.000109,0.000109
